000000.000|    9328.0000kb|   9328.0000kb added| ALWAYS| Logging started at 2014-08-15T20:59:19.641
000000.001|    9340.0000kb|     12.0000kb added| ALWAYS| Loading RADS dynamic library: D:\Riot Games\League of Legends\RADS\RiotRadsIO.dll
000000.002|    9720.0000kb|    380.0000kb added|   OKAY| Riot::RADS::Reader::RadsExportsMain::Initialize: RADS library initializing with specified working directory "D:\Riot Games\League of Legends\RADS\solutions\lol_game_client_sln\releases\0.0.1.50\deploy".
000000.002|    9744.0000kb|     24.0000kb added|   OKAY| Riot::RADS::Reader::RuntimeEnvironment::Create: Creating RADS runtime environment: RADS root directory = "D:/Riot Games/League of Legends/RADS"
000000.002|    9768.0000kb|     24.0000kb added|   OKAY| Riot::RADS::Reader::SolutionManifest::Load: ("D:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.50/solutionmanifest")
000000.003|    9808.0000kb|     40.0000kb added|   OKAY| Riot::RADS::Reader::ConfigurationManifest::Load: ("D:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.50/configurationmanifest")
000000.003|    9816.0000kb|      8.0000kb added|   OKAY| Riot::RADS::Reader::ReleaseManifest::LoadInternal: ("D:/Riot Games/League of Legends/RADS/projects/lol_game_client_en_us/releases/0.0.0.233/releasemanifest")
000000.016|    9944.0000kb|    128.0000kb added|   OKAY| Riot::RADS::Reader::ReleaseManifest::LoadInternal: ("D:/Riot Games/League of Legends/RADS/projects/lol_game_client/releases/0.0.0.245/releasemanifest")
000000.319|   16912.0000kb|   6968.0000kb added| ALWAYS| Loaded RADS dynamic library: D:\Riot Games\League of Legends\RADS\RiotRadsIO.dll
000000.338|   43852.0000kb|  26940.0000kb added|   OKAY| Unable to process data overlay file ./ToolsConfig.xml, defaulting to overlay now
000000.338|   43852.0000kb|      0.0000kb added| ALWAYS| Data overlay start folder initialized to DATA, Content/Src
000000.338|   44148.0000kb|    296.0000kb added| ALWAYS| Global logging level set to   WARN
000000.339|   44224.0000kb|     76.0000kb added| ALWAYS| Build Version: Version 4.14.0.351 (Aug  8 2014/17:20:43) [PUBLIC] <Releases/4.14> ChangeList: 668992
000000.606|   58640.0000kb|  14416.0000kb added| ALWAYS| Started System Init
000000.607|   58680.0000kb|     40.0000kb added| ALWAYS| Maestro Init
000000.642|   58904.0000kb|    224.0000kb added| ALWAYS| Maestro completed init
000000.642|   58912.0000kb|      8.0000kb added| ALWAYS| zip manifest, 'ClientZips.txt', not found (expected).
000000.651|   59840.0000kb|    928.0000kb added| ALWAYS| StartSession called
000000.651|   59840.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.651|   59976.0000kb|    136.0000kb added| ALWAYS| Waiting until connection...
000000.766|   68044.0000kb|   8068.0000kb added| ALWAYS| InitRenderer() enter
000000.766|   68212.0000kb|    168.0000kb added| ALWAYS| r3dRenderLayer::Init(0x000c078c) enter
000000.780|   74212.0000kb|   6000.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.908|   83152.0000kb|   8940.0000kb added| ALWAYS| Loaded locale en_US via fontconfig
000000.913|   79508.0000kb|  -3644.0000kb added| ALWAYS| IME file, 'D:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.50/deploy/Data/Menu/IMEConfig.xml', is optional. The following error is expected.
000000.915|   79592.0000kb|     84.0000kb added|  ERROR| RadsOpenFile: RADS cannot open file "D:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.50/deploy/Data/Menu/IMEConfig.xml" because it's not in the manifest.
000000.915|   79600.0000kb|      8.0000kb added|  ERROR| Missing file on r3dGFile open :D:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.50/deploy/Data/Menu/IMEConfig.xml
000000.924|   79700.0000kb|    100.0000kb added| ALWAYS| SharedConfigPath: D:\Riot Games\League of Legends\RADS\projects/lol_air_client/releases/0.0.1.104/deploy/preferences/
000000.926|   79824.0000kb|    124.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1920, YRes = 1080, BPP = 32,  Flags=0) enter
000000.926|   79824.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000001.152|   96804.0000kb|  16980.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000001.361|  100040.0000kb|   3236.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000001.546|  100508.0000kb|    468.0000kb added| ALWAYS| OS Version String: 8.1  Professional, x64
000001.546|  100552.0000kb|     44.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i5-2320 CPU @ 3.00GHz, Intel64 Family 6 Model 42 Stepping 7, 2993 (0 core)
000001.546|  100560.0000kb|      8.0000kb added| ALWAYS| Measured processor speed: 3028
000001.546|  100560.0000kb|      0.0000kb added| ALWAYS| Display info: Intel(R) HD Graphics 2210398208 9.17.10.3347
000001.546|  100584.0000kb|     24.0000kb added| ALWAYS| Physical memory: 17179869184
000001.546|  100632.0000kb|     48.0000kb added| ALWAYS| {"messageType":"hardware_information","message_body":"Hardware Info","operating_system":"8.1  Professional, x64","cpu":"GenuineIntel","cpu_processor":"Intel(R) Core(TM) i5-2320 CPU @ 3.00GHz","cpu_identifier":"Intel64 Family 6 Model 42 Stepping 7","cpu_topology":4,"gpu":"Intel(R) HD Graphics","video_memory":"2210398208","driver_version":"9.17.10.3347","physical_memory":17179869184}
000001.546|  100632.0000kb|      0.0000kb added| ALWAYS| -----HARDWARE INFORMATION START-----
000001.546|  100632.0000kb|      0.0000kb added| ALWAYS| Operating System: 8.1  Professional, x64
000001.546|  100632.0000kb|      0.0000kb added| ALWAYS| GPU Manufacturer: Intel(R) HD Graphics
000001.546|  100632.0000kb|      0.0000kb added| ALWAYS| GPU Memory: 2210398208
000001.546|  100632.0000kb|      0.0000kb added| ALWAYS| GPU Driver Version: 9.17.10.3347
000001.546|  100632.0000kb|      0.0000kb added| ALWAYS| CPU Brand: GenuineIntel
000001.546|  100632.0000kb|      0.0000kb added| ALWAYS| CPU Processor Name: Intel(R) Core(TM) i5-2320 CPU @ 3.00GHz
000001.546|  100632.0000kb|      0.0000kb added| ALWAYS| CPU Identifier: Intel64 Family 6 Model 42 Stepping 7
000001.546|  100636.0000kb|      4.0000kb added| ALWAYS| CPU Speed: 2993
000001.546|  100636.0000kb|      0.0000kb added| ALWAYS| CPU Topology: 4 Core
000001.547|  100636.0000kb|      0.0000kb added| ALWAYS| Physical memory: 17179869184
000001.547|  100636.0000kb|      0.0000kb added| ALWAYS| -----HARDWARE INFORMATION END-----
000001.686|  102716.0000kb|   2080.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000001.687|  102836.0000kb|    120.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000001.687|  102836.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(6161200) and resolution (1920 x 1080) 
000001.687|  102836.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(6161200) and resolution (960 x 540) 
000001.697|  103540.0000kb|    704.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1920x1080
000001.741|  106512.0000kb|   2972.0000kb added| ALWAYS| Waiting for client ID
000001.942|  106532.0000kb|     20.0000kb added| ALWAYS| {"messageType":"riot__game_client__connection_info","message_body":"Hard Connect"}
000001.942|  106532.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.943|  106400.0000kb|   -132.0000kb added| ALWAYS| Set focus to app
000001.943|  106400.0000kb|      0.0000kb added| ALWAYS| Input started
000001.966|  106344.0000kb|    -56.0000kb added| ALWAYS| Query Status Req started
000001.976|  106360.0000kb|     16.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000059279199
000002.119|  106364.0000kb|      4.0000kb added| ALWAYS| Query Status Req ended
000002.119|  106364.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000002.321|  106368.0000kb|      4.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 4.14.0.351 [PUBLIC]
000003.341|  107472.0000kb|   1104.0000kb added| ALWAYS| Player assigned to AB Group: Everything
000003.341|  107472.0000kb|      0.0000kb added| ALWAYS| Initializing GameModeComponents for mode=CLASSIC.
000003.341|  107472.0000kb|      0.0000kb added| ALWAYS| ... Processing GameMode Mutator = CLASSIC.
000003.341|  107516.0000kb|     44.0000kb added| ALWAYS| netUID: 2 defaultname
000003.361|  107580.0000kb|     64.0000kb added| ALWAYS| PlayGame Started
000004.043|  114140.0000kb|   6560.0000kb added| ALWAYS| PlayGame Entered
000004.043|  114224.0000kb|     84.0000kb added| ALWAYS| gRenderPipeline
000004.054|  115580.0000kb|   1356.0000kb added| ALWAYS| CreateParticleSystemManager
000004.589|  116452.0000kb|    872.0000kb added| ALWAYS| CreateAudioManager: Create audio manager Wwise.
000005.607|  202004.0000kb|  85552.0000kb added|  ERROR| Can not open file <nexus_diff.dds> *********
000005.607|  202004.0000kb|      0.0000kb added|  ERROR| Failed to load nexus_diff.dds
000005.607|  202004.0000kb|      0.0000kb added|   WARN| r3dTexture EX: nexus_diff.dds - not found. Dummy texture created.
000005.607|  202004.0000kb|      0.0000kb added|  ERROR| Can not open file <chaos_nexus_diff.dds> *********
000005.607|  202004.0000kb|      0.0000kb added|  ERROR| Failed to load chaos_nexus_diff.dds
000005.607|  202004.0000kb|      0.0000kb added|   WARN| r3dTexture EX: chaos_nexus_diff.dds - not found. Dummy texture created.
000005.607|  202004.0000kb|      0.0000kb added|  ERROR| Can not open file <inhibitor_diff.dds> *********
